CensusTract,Opportunity_Tier,PWC_Opportunity_Index,Top_Domain,District,District_combined,City,Neighborhood,1st Due,LIFEEXPPCT,LOWINCPCT,UNEMPPCT,LINGISOPCT,LESSHSPCT,E_POV150_P,With_PublicAssIncome_P,With_SSI_P,E_UNINSUR_P,With_Medicaid_P,percent_food_insecure,PRE1960PCT,E_HBURD_P,House_Vacant_P,E_MUNIT_P,E_MOBILE_P,E_CROWD_P,Owner_occupied_P,Mean_Proportion_HHIncome,percent_homeowners,PTRAF,E_NOVEH_P,Mean_Transportation_time(min),Work_Drivealone_P,Work_Carpooled_P,Work_PublicTransportation_P,Work_Walk_P,Work_Fromhome_P,Percent_Severe/Fatal,Avg_Person_Injured/Kill,Avg_Pedestrian_Injured/Kill,Percent_Alcohol_Related,Percent_Distracted_Related,Percent_Drowsy_Related,Percent_Drug_Related,Percent_Speed_Related,Percent_Hitrun_Related,Percent_Schoolzone_Related,Percent_Lgtruck_Related,Percent_Young_Related,Percent_Senior_Related,Percent_Bike_Related,Percent_Night_Related,Percent_Workzone_Related,PM25,OZONE,DSLPM,NO2,RSEI_AIR,PTSDF,UST,PWDIS,PNPL,PRMP,Total_Calls,Chronic_History,Violence_Calls,Opioid_Calls,CPR_Calls,DISABILITYPCT,UNDER5PCT,OVER64PCT,E_SNGPNT_P,E_GROUPQ_P,Total_Population,Median_Age,Age_Dependency_Ratio,Old-age_Dependency_Ratio,Child_Dependency_Ratio,Prop_White,Sex_Ratio(males per 100 females),Prop_Black,Prop_Hisp,Socioeconomic_Rank,Socioeconomic_Var1,Socioeconomic_Val1,Socioeconomic_Z1,Housing_Rank,Housing_Var1,Housing_Val1,Housing_Z1,Transportation_Rank,Transportation_Var1,Transportation_Val1,Transportation_Z1,Transportation_Var2,Transportation_Val2,Transportation_Z2,Transportation_Var3,Transportation_Val3,Transportation_Z3,TransportationSafety_Rank,TransportationSafety_Var1,TransportationSafety_Val1,TransportationSafety_Z1,TransportationSafety_Var2,TransportationSafety_Val2,TransportationSafety_Z2,TransportationSafety_Var3,TransportationSafety_Val3,TransportationSafety_Z3,Environmental_Rank,Environmental_Var1,Environmental_Val1,Environmental_Z1,Environmental_Var2,Environmental_Val2,Environmental_Z2,Environmental_Var3,Environmental_Val3,Environmental_Z3,PublicHealth_Rank,PublicHealth_Var1,PublicHealth_Val1,PublicHealth_Z1,Demographics_Rank,Demographics_Var1,Demographics_Val1,Demographics_Z1,Demographics_Var2,Demographics_Val2,Demographics_Z2,Demographics_Var3,Demographics_Val3,Demographics_Z3,Socioeconomic_Var2,Socioeconomic_Val2,Socioeconomic_Z2,Socioeconomic_Var3,Socioeconomic_Val3,Socioeconomic_Z3,Housing_Var2,Housing_Val2,Housing_Z2,Housing_Var3,Housing_Val3,Housing_Z3,PublicHealth_Var2,PublicHealth_Val2,PublicHealth_Z2,PublicHealth_Var3,PublicHealth_Val3,PublicHealth_Z3
51153900100,Less Opportunity,2,Socioeconomic,WOODBRIDGE,WOODBRIDGE:100%,Dale City,Bayside Park,Station 2 - 1st Due,0.182564103,0.07668522,0.006586826,0.033354715,0.044565217,0.031539889,0.020525978,0.053239256,0.061842919,0.070275404,0.074,0.045257285,0.116100064,0.033477991,0.275883447,0,0.004490058,0.840136054,0.236877828,0.865,1048284.539,0.007055805,45.51067073,0.614619883,0.025730994,0.052046784,0,0.232748538,0.125,1.4375,0.125,0,0.125,0,0.0625,0.125,0,0,0.0625,0.1875,0.3125,0.0625,0.1875,0,7.117336885,55.85079,0.17022229,5.941893021,58.79563204,0.535742038,0.55291834,2955.696985,0.150438512,0.199625414,1259,247,17,3,4,0.095916429,0.0572047,0.299319728,0.007697242,0,3001,54.6,63.1,48.6,14.5,0.504738612,99,0.164781412,0.161418526,1,With_SSI_P,0.053239256,1.093576227,6,E_MUNIT_P,0.275883447,0.928517083,4,Work_Carpooled_P,0.025730994,-1.561672015,Work_Walk_P,0,-0.628032148,PTRAF,1048284.539,0.617658195,3,Percent_Drug_Related,0.0625,2.452630971,Percent_Senior_Related,0.3125,1.890166449,Percent_Bike_Related,0.0625,1.64718364,5,PTSDF,0.535742038,1.415878843,OZONE,55.85079,1.320023583,PRMP,0.199625414,0.610902534,2,CPR_Calls,4,0.186393128,0,Median_Age,54.6,2.630609884,OVER64PCT,0.299319728,2.23583498,Total_Population,3001,-1.429631105,,,,,,,,,,,,,,,,,,
51153900201,High Opportunity,5,Socioeconomic,WOODBRIDGE,WOODBRIDGE:100%,Dale City,Marumsco Village,Station 2 - 1st Due,0.217435897,0.327175698,0.06742281,0.096774194,0.133783784,0.255632937,0.08012487,0.037460978,0.110200737,0.195850622,0.154,0.112476371,0.387096774,0.09168242,0.371455577,0,0.069719043,0.530788177,0.353118812,0.488,1939166.587,0.01144641,40.84618506,0.683366734,0.10754843,0.016700067,0.015364061,0.177020708,0.152941177,1.752941176,0.047058824,0.070588235,0.082352941,0.011764706,0,0.211764706,0.094117647,0.011764706,0.023529412,0.141176471,0.117647059,0.023529412,0.352941177,0.011764706,7.212371585,56.00132,0.246330689,7.430988248,47.18831416,0.506328415,5.158355947,1608.187692,0.107441159,0.212286876,1042,181,44,7,3,0.154356846,0.032363785,0.072101598,0.097814776,0.002048341,3180,36.3,51.9,14,38,0.259409594,69.1,0.225092251,0.374169742,1,E_POV150_P,0.255632937,1.682924507,3,E_HBURD_P,0.387096774,1.682353346,5,PTRAF,1939166.587,2.796980348,Work_PublicTransportation_P,0.016700067,-0.627851715,,,,4,Percent_Night_Related,0.352941177,0.718270387,Percent_Hitrun_Related,0.094117647,0.614192595,Avg_Person_Injured/Kill,1.752941176,0.242250535,6,UST,5.158355947,2.544716145,DSLPM,0.246330689,2.395513936,NO2,7.430988248,1.623919565,2,Violence_Calls,44,0.381050796,0,DISABILITYPCT,0.154356846,2.178609534,Total_Population,3180,-1.316732115,Prop_Hisp,0.374169742,0.783223763,percent_food_insecure,0.154,1.577457798,LOWINCPCT,0.327175698,1.270985946,House_Vacant_P,0.09168242,1.545045315,E_MUNIT_P,0.371455577,1.504897849,Opioid_Calls,7,0.005520634,,,
51153900202,High Opportunity,6,Socioeconomic,WOODBRIDGE,WOODBRIDGE:100%,Dale City,Marumsco Village,Station 2 - 1st Due,0.169230769,0.276915616,0.048494329,0.135111111,0.171480144,0.030310378,0.122666667,0,0.185741998,0.155063291,0.074,0.584518167,0.193777778,0.111374408,0.16192733,0.004739336,0,0.841901067,0.258486239,0.824,1942872.958,0.012444444,35.77643172,0.756890169,0.126696833,0.00987248,0,0.06622789,0.109090909,1.709090909,0.045454545,0.072727273,0.272727273,0.018181818,0.027272727,0.3,0.118181818,0.018181818,0.081818182,0.190909091,0.163636364,0,0.309090909,0.009090909,7.216208197,55.82964,0.243887459,7.024271642,42.40539441,0.323682439,2.421485001,1481.485726,0.100379162,0.197936753,1188,264,32,11,4,0.039678676,0.040979631,0.066440349,0.038222222,0,3520,37,47.5,16.5,31,0.202326145,119.2,0.088441968,0.591713109,1,With_PublicAssIncome_P,0.122666667,1.513378227,5,PRE1960PCT,0.584518167,5.773282937,4,PTRAF,1942872.958,2.806047067,Work_Drivealone_P,0.756890169,1.130849886,Work_Fromhome_P,0.06622789,-1.126297762,3,Percent_Speed_Related,0.3,1.092360534,Percent_Hitrun_Related,0.118181818,1.043964585,Percent_Distracted_Related,0.272727273,0.845082186,6,DSLPM,0.243887459,2.3242532,OZONE,55.82964,1.290674914,NO2,7.024271642,1.239809862,2,Opioid_Calls,11,0.682718395,0,Prop_Hisp,0.591713109,2.208875745,Total_Population,3520,-1.102287107,Sex_Ratio(males per 100 females),119.2,0.883152416,LINGISOPCT,0.135111111,1.270415314,E_UNINSUR_P,0.185741998,1.089536933,House_Vacant_P,0.111374408,2.119917022,E_MUNIT_P,0.16192733,0.24126533,CPR_Calls,4,0.186393128,,,
51153900203,Exceptional Opportunity,7,Socioeconomic,WOODBRIDGE,WOODBRIDGE:100%,Dale City,Woodbridge,Station 2 - 1st Due,0.206153846,0.301154936,0.042467591,0.143669986,0.191298094,0.230115494,0.076102418,0.077524893,0.181085204,0.225841714,0.163,0.10210396,0.343527738,0.129950495,0.611386139,0,0.084637269,0.101680122,0.339889416,0.075,1432192.241,0.007823613,39.43759832,0.767241379,0.081135903,0.019269777,0.061866126,0.034482759,0.213114754,1.68852459,0.114754099,0.229508197,0.262295082,0.016393443,0,0.213114754,0.196721312,0.098360656,0.049180328,0.098360656,0.098360656,0.032786885,0.409836066,0.032786885,7.197157923,55.83719,0.217923803,7.046775897,45.32269551,0.257901881,1.43282189,1696.97799,0.10855256,0,1608,294,114,16,1,0.100787057,0.095227718,0.057528873,0.092460882,0.001307474,4891,29.3,69.6,7.2,62.5,0.104599407,76.8,0.283753709,0.482937685,1,With_SSI_P,0.077524893,2.247633891,4,Owner_occupied_P,0.101680122,-2.96357722,5,Work_Fromhome_P,0.034482759,-1.564219686,PTRAF,1432192.241,1.556793249,Work_Drivealone_P,0.767241379,1.298249566,3,Percent_Alcohol_Related,0.229508197,2.746079631,Percent_Hitrun_Related,0.196721312,2.446633918,Percent_Schoolzone_Related,0.098360656,1.701498048,6,DSLPM,0.217923803,1.566981379,OZONE,55.83719,1.301151626,NO2,7.046775897,1.261063243,2,Violence_Calls,114,2.683083745,0,Child_Dependency_Ratio,62.5,2.193174605,Prop_Hisp,0.482937685,1.496025241,UNDER5PCT,0.095227718,0.934613027,percent_food_insecure,0.163,1.806845761,With_Medicaid_P,0.225841714,1.429058503,E_MUNIT_P,0.611386139,2.951882037,percent_homeowners,0.075,-2.908591416,Opioid_Calls,16,1.529215596,Total_Calls,1608,0.04225304
51153900301,High Opportunity,5,Socioeconomic,OCCOQUAN,OCCOQUAN:100%,Dale City,Woodbridge,Station 2 - 1st Due,0.180512821,0.232398397,0.092181467,0.093147039,0.109263658,0.209502003,0.088489687,0.02328676,0.090440756,0.172154824,0.184,0.198136646,0.275449102,0.066459627,0.224844721,0,0.012641384,0.603892387,0.345895522,0.685,1980590.732,0.055222888,37.58444869,0.61707989,0.089256198,0.072727273,0.076584022,0.13553719,0.06060606,1.563636363,0.018181818,0.048484848,0.151515152,0.042424242,0,0.357575758,0.066666667,0.006060606,0.139393939,0.175757576,0.157575758,0,0.363636364,0.018181818,7.243385246,56.03626,0.250596623,6.979261768,42.57440461,0.455011814,5.261958187,749.7767363,0.039346429,0.23544811,1413,247,24,3,4,0.134315425,0.048368632,0.089009731,0.079174983,0,3514,37.8,41.8,15.3,26.4,0.45743714,93.4,0.17206907,0.201151166,1,percent_food_insecure,0.184,2.342084339,5,PRE1960PCT,0.198136646,1.560975517,3,PTRAF,1980590.732,2.898314254,E_NOVEH_P,0.055222888,1.318414162,Work_Carpooled_P,0.089256198,-0.313146212,4,Percent_Speed_Related,0.357575758,1.696226369,Percent_Lgtruck_Related,0.139393939,1.301961116,Percent_Drowsy_Related,0.042424242,0.971932597,6,UST,5.261958187,2.615896513,DSLPM,0.250596623,2.519936768,OZONE,56.03626,1.577389901,2,CPR_Calls,4,0.186393128,0,DISABILITYPCT,0.134315425,1.561329167,Total_Population,3514,-1.10607143,Prop_White,0.45743714,0.361370369,UNEMPPCT,0.092181467,1.488914827,E_POV150_P,0.209502003,1.141803366,House_Vacant_P,0.066459627,0.808711834,E_HBURD_P,0.275449102,0.688681358,,,,,,
51153900302,Exceptional Opportunity,7,PublicHealth,OCCOQUAN,OCCOQUAN:100%,Dale City,Lake Ridge,Station 20 - 1st Due,0.180512821,0.289380696,0.00859423,0.066008083,0.171858501,0.224235768,0.055680287,0.017063314,0.111111111,0.188657845,0.142,0.015879828,0.26986978,0.044206009,0.193991416,0.056652361,0.04220925,0.537250595,0.351252053,0.486,1876875.904,0.014369106,43.30398027,0.687334705,0.066118131,0.058771672,0,0.165736115,0.088,1.676,0.044,0.052,0.208,0.052,0.016,0.256,0.06,0,0.112,0.148,0.152,0.004,0.312,0.036,7.232929781,55.79823,0.248440548,7.404631107,40.20947831,0.286848501,2.458813027,839.2163909,0,0.195784515,2804,401,39,9,1,0.098865784,0.048142046,0.064616511,0.119892232,0,5032,37.8,53.6,14.5,39.1,0.24785077,94.7,0.291484185,0.270884023,2,E_POV150_P,0.224235768,1.314632118,4,E_MOBILE_P,0.056652361,1.44327214,3,PTRAF,1876875.904,2.644601629,Work_Carpooled_P,0.066118131,-0.767902307,Work_Walk_P,0,-0.628032148,5,Percent_Drowsy_Related,0.052,1.389486017,Percent_Lgtruck_Related,0.112,0.77843667,Percent_Speed_Related,0.256,0.630879911,6,DSLPM,0.248440548,2.45705137,NO2,7.404631107,1.599027458,OZONE,55.79823,1.247089018,1,Total_Calls,2804,1.231303301,0,E_SNGPNT_P,0.119892232,1.276764033,Prop_Black,0.291484185,0.848964735,DISABILITYPCT,0.098865784,0.469472085,percent_food_insecure,0.142,1.271607182,LOWINCPCT,0.289380696,0.954102726,percent_homeowners,0.486,-1.128898897,Owner_occupied_P,0.537250595,-0.984959285,Chronic_History,401,0.514662109,Opioid_Calls,9,0.344119514
51153900403,Exceptional Opportunity,8,PublicHealth,NEABSCO,"NEABSCO:56.39%,OCCOQUAN:43.61%",Dale City,Potomac Mills,Station 20 - 1st Due,0.16,0.254022989,0.054404946,0.103076923,0.151957209,0.198460783,0.166153846,0.06,0.070247257,0.205780916,0.096,0.051192843,0.315897436,0.030815109,0.203777336,0,0.033333333,0.828096726,0.48960396,0.732,1311404.74,0.056923077,36.82104317,0.629923866,0.239324727,0.03939093,0.003641178,0.083416087,0.100869565,1.829565217,0.026086957,0.066086957,0.213913044,0.022608696,0.006956522,0.170434783,0.060869565,0.015652174,0.053913043,0.194782609,0.142608696,0.00173913,0.297391304,0.033043478,7.208924863,55.47455,0.178071521,7.419461825,34.71307642,0.09824936,2.968459601,1223.102014,0.078182302,0,8244,1038,190,35,18,0.103629496,0.127231046,0.125921074,0.015384615,0.004584903,5789,36.6,66.4,19.7,46.7,0.210990991,95.9,0.232792793,0.381441441,2,With_PublicAssIncome_P,0.166153846,2.537141177,6,Mean_Proportion_HHIncome,0.48960396,2.089640746,3,E_NOVEH_P,0.056923077,1.389652295,PTRAF,1311404.74,1.261316561,Work_Fromhome_P,0.083416087,-0.889187753,4,Avg_Person_Injured/Kill,1.829565217,0.52842819,Percent_Drowsy_Related,0.022608696,0.107870557,Percent_Night_Related,0.297391304,0.079357311,5,NO2,7.419461825,1.613033826,UST,2.968459601,1.040138386,OZONE,55.47455,0.797936433,1,Total_Calls,8244,6.639692446,0,UNDER5PCT,0.127231046,2.042631464,Prop_Hisp,0.381441441,0.830878225,DISABILITYPCT,0.103629496,0.616195508,With_SSI_P,0.06,1.414847949,With_Medicaid_P,0.205780916,1.159880494,E_HBURD_P,0.315897436,1.048674323,E_MUNIT_P,0.203777336,0.493656257,Violence_Calls,190,5.182433803,Opioid_Calls,35,4.745904959
51153900403,Exceptional Opportunity,8,PublicHealth,OCCOQUAN,"NEABSCO:56.39%,OCCOQUAN:43.61%",Dale City,Potomac Mills,Station 20 - 1st Due,0.16,0.254022989,0.054404946,0.103076923,0.151957209,0.198460783,0.166153846,0.06,0.070247257,0.205780916,0.096,0.051192843,0.315897436,0.030815109,0.203777336,0,0.033333333,0.828096726,0.48960396,0.732,1311404.74,0.056923077,36.82104317,0.629923866,0.239324727,0.03939093,0.003641178,0.083416087,0.100869565,1.829565217,0.026086957,0.066086957,0.213913044,0.022608696,0.006956522,0.170434783,0.060869565,0.015652174,0.053913043,0.194782609,0.142608696,0.00173913,0.297391304,0.033043478,7.208924863,55.47455,0.178071521,7.419461825,34.71307642,0.09824936,2.968459601,1223.102014,0.078182302,0,8244,1038,190,35,18,0.103629496,0.127231046,0.125921074,0.015384615,0.004584903,5789,36.6,66.4,19.7,46.7,0.210990991,95.9,0.232792793,0.381441441,2,With_PublicAssIncome_P,0.166153846,2.537141177,6,Mean_Proportion_HHIncome,0.48960396,2.089640746,3,E_NOVEH_P,0.056923077,1.389652295,PTRAF,1311404.74,1.261316561,Work_Fromhome_P,0.083416087,-0.889187753,4,Avg_Person_Injured/Kill,1.829565217,0.52842819,Percent_Drowsy_Related,0.022608696,0.107870557,Percent_Night_Related,0.297391304,0.079357311,5,NO2,7.419461825,1.613033826,UST,2.968459601,1.040138386,OZONE,55.47455,0.797936433,1,Total_Calls,8244,6.639692446,0,UNDER5PCT,0.127231046,2.042631464,Prop_Hisp,0.381441441,0.830878225,DISABILITYPCT,0.103629496,0.616195508,With_SSI_P,0.06,1.414847949,With_Medicaid_P,0.205780916,1.159880494,E_HBURD_P,0.315897436,1.048674323,E_MUNIT_P,0.203777336,0.493656257,Violence_Calls,190,5.182433803,Opioid_Calls,35,4.745904959
51153900404,Exceptional Opportunity,8,Socioeconomic,NEABSCO,NEABSCO:100%,Dale City,Forestdale,Station 10 - 1st Due,0.164102564,0.354005622,0.089608177,0.199541284,0.218958611,0.265345493,0.130160551,0.029243119,0.235180638,0.227095861,0.132,0.053650442,0.324541284,0.03539823,0.071902655,0,0.038990826,0.710951211,0.375235849,0.786,1072587.897,0.006880734,47.32890917,0.69431988,0.12406577,0.032511211,0.016442451,0.099775785,0.106194691,1.849557523,0.044247788,0.088495575,0.194690266,0.017699115,0.026548673,0.097345133,0.061946903,0.017699115,0.03539823,0.203539823,0.132743363,0.03539823,0.247787611,0,7.205901366,55.28439,0.173518369,6.966819502,32.82387659,0.024933455,1.103061651,1128.579837,0.102979571,0,1695,430,52,11,5,0.08135833,0.052086987,0.081024202,0.122706422,0.000701508,5893,35.4,56.8,14.7,42.1,0.197631755,76.2,0.151767845,0.524683122,1,LINGISOPCT,0.199541284,2.344507741,6,E_HBURD_P,0.324541284,1.125605167,5,Mean_Transportation_time(min),47.32890917,0.920277629,PTRAF,1072587.897,0.677110338,Work_Fromhome_P,0.099775785,-0.663506832,3,Percent_Drug_Related,0.026548673,0.64086724,Percent_Bike_Related,0.03539823,0.60832584,Avg_Person_Injured/Kill,1.849557523,0.603096025,4,NO2,6.966819502,1.185551137,OZONE,55.28439,0.534062064,PM25,7.205901366,0.342352605,2,Chronic_History,430,0.702941075,0,Prop_Hisp,0.524683122,1.769600418,E_SNGPNT_P,0.122706422,1.340634997,,,,E_POV150_P,0.265345493,1.796853902,E_UNINSUR_P,0.235180638,1.728954622,Mean_Proportion_HHIncome,0.375235849,0.502786883,Owner_occupied_P,0.710951211,-0.195908659,Opioid_Calls,11,0.682718395,Violence_Calls,52,0.644140275
51153900407,Exceptional Opportunity,7,Socioeconomic,NEABSCO,NEABSCO:100%,Dale City,Evansdale,Station 17 - 1st Due,0.178394938,0.276343631,0.069092697,0.071365248,0.146657572,0.167865707,0.120567376,0.026595745,0.131894484,0.242219991,0.119,0.044769874,0.349734043,0.056066946,0.390376569,0,0.117907801,0.446748484,0.321158587,0.48,960221.5154,0.01462766,43.94493953,0.722381823,0.054844607,0.024027161,0.004439802,0.179420214,0.099009901,1.940594059,0.079207921,0.059405941,0.198019802,0,0,0.118811881,0.02970297,0.00990099,0.03960396,0.306930693,0.178217822,0,0.346534654,0,7.202148634,55.18307,0.170696031,6.265945822,29.93241569,0,3.055211956,31.74779747,0.123719695,0,1658,425,63,8,4,0.087767102,0.097898152,0.087318381,0.063829787,0,6916,32.5,53.8,13.3,40.5,0.164841583,95.2,0.329975179,0.349248065,1,With_Medicaid_P,0.242219991,1.648824037,3,E_CROWD_P,0.117907801,2.516742169,5,Work_Carpooled_P,0.054844607,-0.989472404,Work_Drivealone_P,0.722381823,0.572781208,PTRAF,960221.5154,0.402233832,4,Percent_Young_Related,0.306930693,0.978923059,Avg_Person_Injured/Kill,1.940594059,0.943101878,Percent_Night_Related,0.346534654,0.644585046,6,UST,3.055211956,1.099741967,NO2,6.265945822,0.523634763,OZONE,55.18307,0.393465982,2,Violence_Calls,63,1.00588831,0,Prop_Black,0.329975179,1.181030041,UNDER5PCT,0.097898152,1.027068727,Prop_Hisp,0.349248065,0.619901669,With_PublicAssIncome_P,0.120567376,1.463957308,LOWINCPCT,0.276343631,0.844796551,E_MUNIT_P,0.390376569,1.619007431,Owner_occupied_P,0.446748484,-1.39607324,Chronic_History,425,0.670479185,CPR_Calls,4,0.186393128
